kecamatan,year,jumlah_kasus
Balubur Limbangan,2022,291
Banjarwangi,2022,1
Banyuresmi,2022,15
Bayongbong,2022,31
Bungbulang,2022,0
Caringin,2022,0
Cibalong,2022,0
Cibatu,2022,2
Cibiuk,2022,2
Cigedug,2022,1
Cihurip,2022,0
Cikajang,2022,2
Cikelet,2022,0
Cilawu,2022,2
Cisewu,2022,0
Cisompet,2022,19
Cisurupan,2022,35
Garut Kota,2022,44
Kadungora,2022,15
Karangpawitan,2022,25
Karangtengah,2022,0
Kersamanah,2022,14
Leles,2022,3
Leuwigoong,2022,20
Malangbong,2022,33
Mekarmukti,2022,0
Pakenjeng,2022,0
Pameungpeuk,2022,0
Pamulihan,2022,0
Pangatikan,2022,7
Pasirwangi,2022,12
Peundeuy,2022,31
Samarang,2022,79
Selaawi,2022,22
Singajaya,2022,0
Sucinaraja,2022,0
Sukaresmi,2022,1
Sukawening,2022,27
Talegong,2022,0
Tarogong Kaler,2022,132
Tarogong Kidul,2022,35
Wanaraja,2022,3
Balubur Limbangan,2023,241
Banjarwangi,2023,0
Banyuresmi,2023,30
Bayongbong,2023,5
Bungbulang,2023,1
Caringin,2023,0
Cibalong,2023,2
Cibatu,2023,7
Cibiuk,2023,1
Cigedug,2023,1
Cihurip,2023,1
Cikajang,2023,0
Cikelet,2023,0
Cilawu,2023,34
Cisewu,2023,0
Cisompet,2023,5
Cisurupan,2023,27
Garut Kota,2023,22
Kadungora,2023,16
Karangpawitan,2023,38
Karangtengah,2023,0
Kersamanah,2023,20
Leles,2023,2
Leuwigoong,2023,27
Malangbong,2023,50
Mekarmukti,2023,0
Pakenjeng,2023,0
Pameungpeuk,2023,1
Pamulihan,2023,0
Pangatikan,2023,2
Pasirwangi,2023,0
Peundeuy,2023,31
Samarang,2023,36
Selaawi,2023,31
Singajaya,2023,0
Sucinaraja,2023,0
Sukaresmi,2023,1
Sukawening,2023,11
Talegong,2023,0
Tarogong Kaler,2023,70
Tarogong Kidul,2023,15
Wanaraja,2023,2
Balubur Limbangan,2024,336
Banjarwangi,2024,5
Banyuresmi,2024,199
Bayongbong,2024,48
Bungbulang,2024,42
Caringin,2024,49
Cibalong,2024,25
Cibatu,2024,151
Cibiuk,2024,21
Cigedug,2024,10
Cihurip,2024,5
Cikajang,2024,21
Cikelet,2024,39
Cilawu,2024,304
Cisewu,2024,2
Cisompet,2024,115
Cisurupan,2024,97
Garut Kota,2024,124
Kadungora,2024,133
Karangpawitan,2024,273
Karangtengah,2024,4
Kersamanah,2024,76
Leles,2024,28
Leuwigoong,2024,90
Malangbong,2024,187
Mekarmukti,2024,5
Pakenjeng,2024,18
Pameungpeuk,2024,11
Pamulihan,2024,0
Pangatikan,2024,11
Pasirwangi,2024,29
Peundeuy,2024,70
Samarang,2024,129
Selaawi,2024,199
Singajaya,2024,0
Sucinaraja,2024,46
Sukaresmi,2024,3
Sukawening,2024,30
Talegong,2024,0
Tarogong Kaler,2024,180
Tarogong Kidul,2024,79
Wanaraja,2024,75
