kecamatan,year,kelembapan
Balubur Limbangan,2022,88.02470682126653
Banjarwangi,2022,89.78355347128944
Banyuresmi,2022,89.2239750026287
Bayongbong,2022,88.98734332229402
Bungbulang,2022,88.63970112586001
Caringin,2022,88.13398945549447
Cibalong,2022,87.05218649118972
Cibatu,2022,88.77469931974387
Cibiuk,2022,88.71935825328462
Cigedug,2022,88.9427376344773
Cihurip,2022,88.98372695911202
Cikajang,2022,89.2639475451033
Cikelet,2022,86.61841372531426
Cilawu,2022,89.37594594031538
Cisewu,2022,89.2110688803432
Cisompet,2022,87.29258711722446
Cisurupan,2022,88.85479570485604
Garut Kota,2022,89.19613391435438
Kadungora,2022,88.77891485767975
Karangpawitan,2022,89.26265104931213
Karangtengah,2022,89.60492447088025
Kersamanah,2022,88.90592401313984
Leles,2022,88.8712221123072
Leuwigoong,2022,88.87009996447546
Malangbong,2022,88.75906060755146
Mekarmukti,2022,87.98327344577315
Pakenjeng,2022,88.51421745195275
Pameungpeuk,2022,85.4588225817609
Pamulihan,2022,89.20409426958952
Pangatikan,2022,89.44403089304596
Pasirwangi,2022,88.68670160179113
Peundeuy,2022,88.31764851583227
Samarang,2022,88.77427645372929
Selaawi,2022,87.96855048966712
Singajaya,2022,89.71010471734532
Sucinaraja,2022,89.38925861123003
Sukaresmi,2022,88.70245523933947
Sukawening,2022,89.41334203353559
Talegong,2022,89.4394303125987
Tarogong Kaler,2022,89.0049059766402
Tarogong Kidul,2022,89.15263221392571
Wanaraja,2022,89.41515255856287
Balubur Limbangan,2023,82.51152254380865
Banjarwangi,2023,86.94423856624553
Banyuresmi,2023,85.91257994068017
Bayongbong,2023,85.02224745781983
Bungbulang,2023,86.178735576553
Caringin,2023,86.33233762620374
Cibalong,2023,85.16917137023717
Cibatu,2023,84.62734908805976
Cibiuk,2023,84.54146593105312
Cigedug,2023,85.30592347288832
Cihurip,2023,86.45707349924307
Cikajang,2023,86.2962905347482
Cikelet,2023,84.99508965653222
Cilawu,2023,86.21775512354219
Cisewu,2023,86.56392669361115
Cisompet,2023,85.34903472152753
Cisurupan,2023,84.70785846235522
Garut Kota,2023,85.71818177055543
Kadungora,2023,84.44893247897865
Karangpawitan,2023,86.18263234053006
Karangtengah,2023,86.78752202775733
Kersamanah,2023,84.75519968400774
Leles,2023,84.50353427247397
Leuwigoong,2023,84.94622578850168
Malangbong,2023,84.2036278370435
Mekarmukti,2023,85.99830132424246
Pakenjeng,2023,86.07250049746165
Pameungpeuk,2023,84.29522225291517
Pamulihan,2023,85.86696435270038
Pangatikan,2023,86.55659903997629
Pasirwangi,2023,83.55289652776139
Peundeuy,2023,85.98762538519553
Samarang,2023,83.98695485339363
Selaawi,2023,81.97301326105364
Singajaya,2023,87.09060490609431
Sucinaraja,2023,86.47798695902956
Sukaresmi,2023,83.64051281636524
Sukawening,2023,86.44566249375782
Talegong,2023,86.16321477148932
Tarogong Kaler,2023,84.86194866175143
Tarogong Kidul,2023,85.41443462973552
Wanaraja,2023,86.51515132422071
Balubur Limbangan,2024,85.42454489164182
Banjarwangi,2024,88.3861542341648
Banyuresmi,2024,87.8281977310603
Bayongbong,2024,87.2784706624978
Bungbulang,2024,87.38369717952293
Caringin,2024,87.27258586306111
Cibalong,2024,86.0796083649094
Cibatu,2024,86.89671744405693
Cibiuk,2024,86.85306308496251
Cigedug,2024,87.30643738957816
Cihurip,2024,87.70257069522295
Cikajang,2024,87.77945698024705
Cikelet,2024,85.6753323641547
Cilawu,2024,87.94103547569519
Cisewu,2024,87.9171155637451
Cisompet,2024,86.25709060604275
Cisurupan,2024,87.03988844783792
Garut Kota,2024,87.72777620804574
Kadungora,2024,86.8170361945461
Karangpawitan,2024,87.96770044998641
Karangtengah,2024,88.32888810225286
Kersamanah,2024,86.9439452816883
Leles,2024,86.97399462638725
Leuwigoong,2024,87.13476104447408
Malangbong,2024,86.57118988722594
Mekarmukti,2024,86.94205661115775
Pakenjeng,2024,87.2457385240051
Pameungpeuk,2024,84.71995455147932
Pamulihan,2024,87.59823969542389
Pangatikan,2024,88.18524078485954
Pasirwangi,2024,86.57599921484116
Peundeuy,2024,87.17865865247707
Samarang,2024,86.79725943360252
Selaawi,2024,85.11370032948373
Singajaya,2024,88.42146171116968
Sucinaraja,2024,88.13633957042778
Sukaresmi,2024,86.61968299790244
Sukawening,2024,88.11076631113708
Talegong,2024,87.91648415957275
Tarogong Kaler,2024,87.27079783743322
Tarogong Kidul,2024,87.5708675783355
Wanaraja,2024,88.15945793301972
