kecamatan,year,ir,jumlah_kasus,curah_hujan,kelembapan,temperature,kepadatan_penduduk,jumlah_penduduk
Balubur Limbangan,2022,367.8887484197219,291,329.27181789691866,88.02470682126653,22.00632117630919,1075,79100
Banjarwangi,2022,1.7182130584192439,1,368.9169282197,89.78355347128944,20.91497084307221,470,58200
Banyuresmi,2022,16.216216216216214,15,309.9762771482664,89.2239750026287,21.17075246393669,1933,92500
Bayongbong,2022,29.580152671755727,31,303.0110471412581,88.98734332229402,20.03047930434384,2201,104800
Bungbulang,2022,0.0,0,355.6736518060529,88.63970112586001,22.47954323612461,398,58500
Caringin,2022,0.0,0,348.097338831536,88.13398945549447,24.067885698127444,329,32600
Cibalong,2022,0.0,0,352.5536567967277,87.05218649118972,24.35379597819598,213,45400
Cibatu,2022,2.67022696929239,2,318.9070613512079,88.77469931974387,21.42843008267683,1809,74900
Cibiuk,2022,5.633802816901409,2,310.9098043655221,88.71935825328462,21.52130644122456,1783,35500
Cigedug,2022,2.242152466367713,1,339.1517981507907,88.9427376344773,19.57036923591127,1431,44600
Cihurip,2022,0.0,0,370.4146589437212,88.98372695911202,22.27065570344963,467,18900
Cikajang,2022,2.347417840375587,2,337.68085940480324,89.2639475451033,20.542721794421844,682,85200
Cikelet,2022,0.0,0,346.4972191868124,86.61841372531426,24.024183270785148,263,45300
Cilawu,2022,1.8281535648994516,2,331.5115371138256,89.37594594031538,20.9881301283325,1410,109400
Cisewu,2022,0.0,0,365.039860345004,89.2110688803432,21.773808595930337,194,33500
Cisompet,2022,35.580524344569284,19,360.1305339004645,87.29258711722446,23.81100620384882,310,53400
Cisurupan,2022,35.21126760563381,35,327.63722491569723,88.85479570485604,18.857069355670607,1229,99400
Garut Kota,2022,34.375,44,337.23660236195195,89.19613391435438,21.140293043867143,4619,128000
Kadungora,2022,16.0427807486631,15,305.5746985707267,88.77891485767975,21.73951201289157,2506,93500
Karangpawitan,2022,17.857142857142858,25,360.3758104525047,89.26265104931213,21.21306582255802,2689,140000
Karangtengah,2022,0.0,0,367.13155452846354,89.60492447088025,21.04253541237873,811,18900
Kersamanah,2022,35.6234096692112,14,323.7669913631468,88.90592401313984,21.19367767531039,2381,39300
Leles,2022,3.525264394829612,3,320.9697932482257,88.8712221123072,20.96283952216623,1157,85100
Leuwigoong,2022,42.10526315789474,20,315.8767006149709,88.87009996447546,21.470368620207186,2454,47500
Malangbong,2022,25.0,33,333.6771826040069,88.75906060755146,21.49241301630177,1429,132000
Mekarmukti,2022,0.0,0,327.2440644532221,87.98327344577315,23.800180018821035,339,18700
Pakenjeng,2022,0.0,0,349.6897671870108,88.51421745195275,22.37766957643478,347,68900
Pameungpeuk,2022,0.0,0,332.0913541384774,85.4588225817609,24.91544511818323,983,43400
Pamulihan,2022,0.0,0,360.6938710723798,89.20409426958952,20.098423668737183,142,18800
Pangatikan,2022,16.35514018691589,7,357.96129391621645,89.44403089304596,21.13900707198161,2172,42800
Pasirwangi,2022,18.29268292682927,12,326.2153529428475,88.68670160179113,18.45085474726231,1405,65600
Peundeuy,2022,128.63070539419087,31,386.0396303250392,88.31764851583227,23.40084214673961,424,24100
Samarang,2022,100.63694267515925,79,288.2964576554577,88.77427645372929,19.43683582031781,1315,78500
Selaawi,2022,51.522248243559716,22,330.6578670027547,87.96855048966712,22.31307383928122,1253,42700
Singajaya,2022,0.0,0,381.0825781949665,89.71010471734532,21.934971246600487,705,47700
Sucinaraja,2022,0.0,0,378.73724747237367,89.38925861123003,21.171848488016625,880,29800
Sukaresmi,2022,2.4691358024691357,1,322.42164551382353,88.70245523933947,18.683661981370683,1150,40500
Sukawening,2022,47.12041884816754,27,337.25400332993866,89.41334203353559,21.153245903848735,1475,57300
Talegong,2022,0.0,0,373.88106897026734,89.4394303125987,19.60149331518523,265,28800
Tarogong Kaler,2022,134.14634146341464,132,279.1150938866197,89.0049059766402,20.474457775341595,1946,98400
Tarogong Kidul,2022,30.04291845493562,35,277.3846572442869,89.15263221392571,21.09270020000847,5986,116500
Wanaraja,2022,6.097560975609756,3,361.244206857145,89.41515255856287,21.15632249806417,1396,49200
Balubur Limbangan,2023,299.75124378109456,241,208.4519511252225,82.51152254380865,22.414879281340102,1093,80400
Banjarwangi,2023,0.0,0,208.869514830564,86.94423856624553,20.94691844697209,478,59100
Banyuresmi,2023,31.746031746031747,30,190.6194594329665,85.91257994068017,21.20925909750582,1973,94500
Bayongbong,2023,4.664179104477612,5,186.58175063667045,85.02224745781983,20.125945633982717,2252,107200
Bungbulang,2023,1.6722408026755853,1,195.35239781966644,86.178735576553,22.465731766558367,407,59800
Caringin,2023,0.0,0,188.99706195473632,86.33233762620374,24.010511906195987,336,33200
Cibalong,2023,4.310344827586206,2,160.51521353938531,85.16917137023717,24.26337672144397,217,46400
Cibatu,2023,9.138381201044385,7,204.32677247600907,84.62734908805976,21.65191689393018,1848,76600
Cibiuk,2023,2.7472527472527473,1,202.0686109036476,84.54146593105312,21.737578811411947,1830,36400
Cigedug,2023,2.1834061135371177,1,204.7775435426072,85.30592347288832,19.68426517882061,1468,45800
Cihurip,2023,5.208333333333334,1,198.6553163926535,86.45707349924307,22.25807805401622,475,19200
Cikajang,2023,0.0,0,200.10292197419636,86.2962905347482,20.55896027681047,696,87000
Cikelet,2023,0.0,0,164.92545400491662,84.99508965653222,23.88098846905245,268,46300
Cilawu,2023,30.438675022381382,34,199.010152497167,86.21775512354219,20.98914876376019,1439,111700
Cisewu,2023,0.0,0,211.52230637957305,86.56392669361115,21.786864013018985,197,34000
Cisompet,2023,9.191176470588236,5,181.0475377077373,85.34903472152753,23.71729151429435,316,54400
Cisurupan,2023,26.706231454005934,27,200.4359947833736,84.70785846235522,19.01146638481278,1250,101100
Garut Kota,2023,16.819571865443425,22,202.6207907410758,85.71818177055543,21.177229468498453,4719,130800
Kadungora,2023,16.771488469601675,16,191.8025496901824,84.44893247897865,21.947636548614685,2556,95400
Karangpawitan,2023,26.388888888888886,38,214.3995684107513,86.18263234053006,21.25375374565087,2765,144000
Karangtengah,2023,0.0,0,219.744965154736,86.78752202775733,21.134691263067182,832,19400
Kersamanah,2023,49.87531172069825,20,207.665531477954,84.75519968400774,21.449269639495075,2432,40100
