id,kode_kabupaten,nama_kabupaten,kode_kecamatan,nama_kecamatan,nama_puskesmas,jumlah,satuan,tahun
135,3205,Garut,320535,Cisewu,Cisewu,0,Orang,2022
136,3205,Garut,320536,Caringin,Sukarame,0,Orang,2022
137,3205,Garut,320537,Talegong,Talegong,0,Orang,2022
138,3205,Garut,320531,Bungbulang,Bungbulang,0,Orang,2022
139,3205,Garut,320532,Mekarmukti,Mekarmukti,0,Orang,2022
140,3205,Garut,320534,Pamulihan,Pamulihan,0,Orang,2022
141,3205,Garut,320534,Pamulihan,Cisandaan,0,Orang,2022
142,3205,Garut,320533,Pakenjeng,Sindangratu,0,Orang,2022
143,3205,Garut,320533,Pakenjeng,Tegalgede,0,Orang,2022
144,3205,Garut,320530,Cikelet,Cikelet,0,Orang,2022
145,3205,Garut,320530,Cikelet,Cimari,0,Orang,2022
146,3205,Garut,320527,Pameungpeuk,Pameungpeuk,0,Orang,2022
147,3205,Garut,320529,Cibalong,Cibalong,0,Orang,2022
148,3205,Garut,320529,Cibalong,Maroko,0,Orang,2022
149,3205,Garut,320528,Cisompet,Cisompet,19,Orang,2022
150,3205,Garut,320526,Peundeuy,Peundeuy,31,Orang,2022
151,3205,Garut,320524,Singajaya,Singajaya,0,Orang,2022
152,3205,Garut,320525,Cihurip,Cihurip,0,Orang,2022
153,3205,Garut,320522,Cikajang,Cikajang,2,Orang,2022
154,3205,Garut,320523,Banjarwangi,Banjarwangi,1,Orang,2022
155,3205,Garut,320519,Cilawu,Cilawu,2,Orang,2022
156,3205,Garut,320519,Cilawu,Bojongloa,0,Orang,2022
157,3205,Garut,320517,Bayongbong,Bayongbong,28,Orang,2022
158,3205,Garut,320517,Bayongbong,Cilimus,3,Orang,2022
159,3205,Garut,320518,Cigedug,Sukahurip,1,Orang,2022
160,3205,Garut,320520,Cisurupan,Cisurupan,35,Orang,2022
161,3205,Garut,320520,Cisurupan,Pakuwon,0,Orang,2022
162,3205,Garut,320521,Sukaresmi,Sukamulya,1,Orang,2022
163,3205,Garut,320507,Samarang,Samarang,7,Orang,2022
164,3205,Garut,320507,Samarang,Sukakarya,72,Orang,2022
165,3205,Garut,320508,Pasirwangi,Padaawas,0,Orang,2022
166,3205,Garut,320508,Pasirwangi,Gadog,12,Orang,2022
167,3205,Garut,320505,Tarogong Kidul,Haurpanggung,21,Orang,2022
168,3205,Garut,320505,Tarogong Kidul,Kersamenak,6,Orang,2022
169,3205,Garut,320505,Tarogong Kidul,Pembangunan,8,Orang,2022
170,3205,Garut,320504,Tarogong Kaler,Tarogong,88,Orang,2022
171,3205,Garut,320504,Tarogong Kaler,Cipanas,37,Orang,2022
172,3205,Garut,320504,Tarogong Kaler,Mekarwangi,7,Orang,2022
173,3205,Garut,320501,Garut Kota,Siliwangi,32,Orang,2022
174,3205,Garut,320501,Garut Kota,Guntur,9,Orang,2022
175,3205,Garut,320501,Garut Kota,Pasundan,3,Orang,2022
176,3205,Garut,320502,Karangpawitan,Karangpawitan,7,Orang,2022
177,3205,Garut,320502,Karangpawitan,Karangmulya,4,Orang,2022
178,3205,Garut,320502,Karangpawitan,Cempaka,14,Orang,2022
179,3205,Garut,320503,Wanaraja,Wanaraja,3,Orang,2022
180,3205,Garut,320542,Sucinaraja,Garawangsa,0,Orang,2022
181,3205,Garut,320541,Pangatikan,Cimaragas,7,Orang,2022
182,3205,Garut,320515,Sukawening,Sukawening,1,Orang,2022
183,3205,Garut,320515,Sukawening,Sukamukti,1,Orang,2022
184,3205,Garut,320515,Sukawening,Maripari,25,Orang,2022
185,3205,Garut,320516,Karangtengah,Karangtengah,0,Orang,2022
186,3205,Garut,320506,Banyuresmi,Sukasenang,2,Orang,2022
187,3205,Garut,320506,Banyuresmi,Bagendit,11,Orang,2022
188,3205,Garut,320506,Banyuresmi,Sukaraja,2,Orang,2022
189,3205,Garut,320509,Leles,Leles,3,Orang,2022
190,3205,Garut,320509,Leles,Lembang,0,Orang,2022
191,3205,Garut,320511,Leuwigoong,Leuwigoong,19,Orang,2022
192,3205,Garut,320511,Leuwigoong,Karangsari,1,Orang,2022
193,3205,Garut,320512,Cibatu,Cibatu,2,Orang,2022
194,3205,Garut,320513,Kersamanah,Sukamerang,14,Orang,2022
195,3205,Garut,320540,Cibiuk,Cibiuk,2,Orang,2022
196,3205,Garut,320510,Kadungora,Rancasalak,2,Orang,2022
197,3205,Garut,320510,Kadungora,Kadungora,13,Orang,2022
198,3205,Garut,320538,Bl. Limbangan,Bl. Limbangan,291,Orang,2022
199,3205,Garut,320539,Selaawi,Selaawi,22,Orang,2022
200,3205,Garut,320514,Malangbong,Malangbong,33,Orang,2022
201,3205,Garut,320514,Malangbong,Citeras,0,Orang,2022
1,3205,Garut,320535,Cisewu,Cisewu,0,Orang,2023
2,3205,Garut,320536,Caringin,Sukarame,0,Orang,2023
3,3205,Garut,320537,Talegong,Talegong,0,Orang,2023
4,3205,Garut,320531,Bungbulang,Bungbulang,1,Orang,2023
5,3205,Garut,320532,Mekarmukti,Mekarmukti,0,Orang,2023
6,3205,Garut,320534,Pamulihan,Pamulihan,0,Orang,2023
7,3205,Garut,320534,Pamulihan,Cisandaan,0,Orang,2023
8,3205,Garut,320533,Pakenjeng,Sindangratu,0,Orang,2023
9,3205,Garut,320533,Pakenjeng,Tegalgede,0,Orang,2023
10,3205,Garut,320530,Cikelet,Cikelet,0,Orang,2023
11,3205,Garut,320530,Cikelet,Cimari,0,Orang,2023
12,3205,Garut,320527,Pameungpeuk,Pameungpeuk,1,Orang,2023
13,3205,Garut,320529,Cibalong,Cibalong,2,Orang,2023
14,3205,Garut,320529,Cibalong,Maroko,0,Orang,2023
15,3205,Garut,320528,Cisompet,Cisompet,5,Orang,2023
16,3205,Garut,320526,Peundeuy,Peundeuy,31,Orang,2023
17,3205,Garut,320524,Singajaya,Singajaya,0,Orang,2023
18,3205,Garut,320525,Cihurip,Cihurip,1,Orang,2023
19,3205,Garut,320522,Cikajang,Cikajang,0,Orang,2023
20,3205,Garut,320523,Banjarwangi,Banjarwangi,0,Orang,2023
21,3205,Garut,320519,Cilawu,Cilawu,20,Orang,2023
22,3205,Garut,320519,Cilawu,Bojongloa,14,Orang,2023
23,3205,Garut,320517,Bayongbong,Bayongbong,5,Orang,2023
24,3205,Garut,320517,Bayongbong,Cilimus,0,Orang,2023
25,3205,Garut,320518,Cigedug,Sukahurip,1,Orang,2023
26,3205,Garut,320520,Cisurupan,Cisurupan,27,Orang,2023
27,3205,Garut,320520,Cisurupan,Pakuwon,0,Orang,2023
28,3205,Garut,320521,Sukaresmi,Sukamulya,1,Orang,2023
29,3205,Garut,320507,Samarang,Samarang,27,Orang,2023
30,3205,Garut,320507,Samarang,Sukakarya,9,Orang,2023
31,3205,Garut,320508,Pasirwangi,Padaawas,0,Orang,2023
32,3205,Garut,320508,Pasirwangi,Gadog,0,Orang,2023
33,3205,Garut,320505,Tarogong Kidul,Haurpanggung,5,Orang,2023
34,3205,Garut,320505,Tarogong Kidul,Kersamenak,0,Orang,2023
35,3205,Garut,320505,Tarogong Kidul,Pembangunan,10,Orang,2023
36,3205,Garut,320504,Tarogong Kaler,Tarogong,56,Orang,2023
37,3205,Garut,320504,Tarogong Kaler,Cipanas,13,Orang,2023
38,3205,Garut,320504,Tarogong Kaler,Mekarwangi,1,Orang,2023
39,3205,Garut,320501,Garut Kota,Siliwangi,17,Orang,2023
40,3205,Garut,320501,Garut Kota,Guntur,3,Orang,2023
41,3205,Garut,320501,Garut Kota,Pasundan,2,Orang,2023
42,3205,Garut,320502,Karangpawitan,Karangpawitan,25,Orang,2023
43,3205,Garut,320502,Karangpawitan,Karangmulya,11,Orang,2023
44,3205,Garut,320502,Karangpawitan,Cempaka,2,Orang,2023
45,3205,Garut,320503,Wanaraja,Wanaraja,2,Orang,2023
46,3205,Garut,320542,Sucinaraja,Garawangsa,0,Orang,2023
47,3205,Garut,320541,Pangatikan,Cimaragas,2,Orang,2023
48,3205,Garut,320515,Sukawening,Sukawening,0,Orang,2023
49,3205,Garut,320515,Sukawening,Sukamukti,0,Orang,2023
50,3205,Garut,320515,Sukawening,Maripari,11,Orang,2023
51,3205,Garut,320516,Karangtengah,Karangtengah,0,Orang,2023
52,3205,Garut,320506,Banyuresmi,Sukasenang,4,Orang,2023
53,3205,Garut,320506,Banyuresmi,Bagendit,26,Orang,2023
54,3205,Garut,320506,Banyuresmi,Sukaraja,0,Orang,2023
55,3205,Garut,320509,Leles,Leles,2,Orang,2023
56,3205,Garut,320509,Leles,Lembang,0,Orang,2023
57,3205,Garut,320511,Leuwigoong,Leuwigoong,22,Orang,2023
58,3205,Garut,320511,Leuwigoong,Karangsari,5,Orang,2023
59,3205,Garut,320512,Cibatu,Cibatu,7,Orang,2023
60,3205,Garut,320513,Kersamanah,Sukamerang,20,Orang,2023
61,3205,Garut,320540,Cibiuk,Cibiuk,1,Orang,2023
62,3205,Garut,320510,Kadungora,Rancasalak,0,Orang,2023
63,3205,Garut,320510,Kadungora,Kadungora,16,Orang,2023
64,3205,Garut,320538,Bl. Limbangan,Bl. Limbangan,241,Orang,2023
65,3205,Garut,320539,Selaawi,Selaawi,31,Orang,2023
66,3205,Garut,320514,Malangbong,Malangbong,50,Orang,2023
67,3205,Garut,320514,Malangbong,Citeras,0,Orang,2023
68,3205,Garut,320535,Cisewu,Cisewu,2,Orang,2024
69,3205,Garut,320536,Caringin,Sukarame,49,Orang,2024
70,3205,Garut,320537,Talegong,Talegong,0,Orang,2024
71,3205,Garut,320531,Bungbulang,Bungbulang,42,Orang,2024
72,3205,Garut,320532,Mekarmukti,Mekarmukti,5,Orang,2024
73,3205,Garut,320534,Pamulihan,Pamulihan,0,Orang,2024
74,3205,Garut,320534,Pamulihan,Cisandaan,0,Orang,2024
75,3205,Garut,320533,Pakenjeng,Sindangratu,13,Orang,2024
76,3205,Garut,320533,Pakenjeng,Tegalgede,5,Orang,2024
77,3205,Garut,320530,Cikelet,Cikelet,17,Orang,2024
78,3205,Garut,320530,Cikelet,Cimari,22,Orang,2024
79,3205,Garut,320527,Pameungpeuk,Pameungpeuk,11,Orang,2024
80,3205,Garut,320529,Cibalong,Cibalong,25,Orang,2024
81,3205,Garut,320529,Cibalong,Maroko,0,Orang,2024
82,3205,Garut,320528,Cisompet,Cisompet,115,Orang,2024
83,3205,Garut,320526,Peundeuy,Peundeuy,70,Orang,2024
84,3205,Garut,320524,Singajaya,Singajaya,0,Orang,2024
85,3205,Garut,320525,Cihurip,Cihurip,5,Orang,2024
86,3205,Garut,320522,Cikajang,Cikajang,21,Orang,2024
87,3205,Garut,320523,Banjarwangi,Banjarwangi,5,Orang,2024
88,3205,Garut,320519,Cilawu,Cilawu,235,Orang,2024
89,3205,Garut,320519,Cilawu,Bojongloa,69,Orang,2024
90,3205,Garut,320517,Bayongbong,Bayongbong,33,Orang,2024
91,3205,Garut,320517,Bayongbong,Cilimus,15,Orang,2024
92,3205,Garut,320518,Cigedug,Sukahurip,10,Orang,2024
93,3205,Garut,320520,Cisurupan,Cisurupan,97,Orang,2024
94,3205,Garut,320520,Cisurupan,Pakuwon,0,Orang,2024
95,3205,Garut,320521,Sukaresmi,Sukamulya,3,Orang,2024
96,3205,Garut,320507,Samarang,Samarang,94,Orang,2024
97,3205,Garut,320507,Samarang,Sukakarya,35,Orang,2024
98,3205,Garut,320508,Pasirwangi,Padaawas,11,Orang,2024
99,3205,Garut,320508,Pasirwangi,Gadog,18,Orang,2024
100,3205,Garut,320505,Tarogong Kidul,Haurpanggung,14,Orang,2024
101,3205,Garut,320505,Tarogong Kidul,Kersamenak,22,Orang,2024
102,3205,Garut,320505,Tarogong Kidul,Pembangunan,43,Orang,2024
103,3205,Garut,320504,Tarogong Kaler,Tarogong,56,Orang,2024
104,3205,Garut,320504,Tarogong Kaler,Cipanas,56,Orang,2024
