OBJECTID_1,SHAPE_Area,SHAPE_Leng,WADMKC,WADMKK,WADMPR,mean,month,var,year
19,0.00704721667414,0.551937022069,Balubur Limbangan,Garut,Jawa Barat,89.489175558444,1,rh_percent,2022
29,0.00994920128902,0.498717502599,Banjarwangi,Garut,Jawa Barat,88.61928795493549,1,rh_percent,2022
34,0.00387701787238,0.466619020777,Banyuresmi,Garut,Jawa Barat,88.62735681031731,1,rh_percent,2022
41,0.00377332165161,0.323563001001,Bayongbong,Garut,Jawa Barat,88.58142794688808,1,rh_percent,2022
69,0.0138913839324,0.896048780705,Bungbulang,Garut,Jawa Barat,87.89700157788783,1,rh_percent,2022
79,0.0093655059389,0.664791293249,Caringin,Garut,Jawa Barat,87.31593172653604,1,rh_percent,2022
93,0.0176866755796,0.734655704781,Cibalong,Garut,Jawa Barat,85.81701925877344,1,rh_percent,2022
96,0.0031259061506,0.356240171341,Cibatu,Garut,Jawa Barat,89.02375826770246,1,rh_percent,2022
110,0.00174291448018,0.226564261522,Cibiuk,Garut,Jawa Barat,89.03077283325413,1,rh_percent,2022
130,0.00272391026561,0.259079402271,Cigedug,Garut,Jawa Barat,88.32492744658954,1,rh_percent,2022
138,0.00447076701275,0.328957296726,Cihurip,Garut,Jawa Barat,87.86325072013915,1,rh_percent,2022
145,0.00877105191672,0.733471298424,Cikajang,Garut,Jawa Barat,88.3490263016512,1,rh_percent,2022
160,0.0144442726556,0.646888090051,Cikelet,Garut,Jawa Barat,85.41202944850284,1,rh_percent,2022
169,0.00653810063178,0.494807261914,Cilawu,Garut,Jawa Barat,88.63274804212882,1,rh_percent,2022
220,0.0131496583772,0.641894318181,Cisewu,Garut,Jawa Barat,88.73728825093477,1,rh_percent,2022
223,0.0141322512659,0.665266503991,Cisompet,Garut,Jawa Barat,86.11110079482336,1,rh_percent,2022
224,0.00750923336275,0.439466170018,Cisurupan,Garut,Jawa Barat,88.54662209438514,1,rh_percent,2022
249,0.00245941913595,0.384481696202,Garut Kota,Garut,Jawa Barat,88.67390744135167,1,rh_percent,2022
299,0.0031484713815,0.298128997356,Kadungora,Garut,Jawa Barat,89.04916085542608,1,rh_percent,2022
