kecamatan,kode_wilayah,jumlah_penduduk,laju_pertumbuhan,persentase_penduduk,kepadatan_penduduk,rasio_jenis_kelamin,tahun
Cisewu,3205010,"33,5","0,25","1,28",194,"105,8",2022
Caringin,3205011,"32,6","0,90","1,24",329,"108,1",2022
Talegong,3205020,"28,8","0,16","1,10",265,"106,1",2022
Bungbulang,3205030,"58,5","0,21","2,23",398,"106,0",2022
Mekarmukti,3205031,"18,7","1,58","0,71",339,"100,7",2022
Pamulihan,3205040,"18,8","0,66","0,72",142,"103,8",2022
Pakenjeng,3205050,"68,9","0,50","2,62",347,"106,5",2022
Cikelet,3205060,"45,3","0,95","1,72",263,"105,3",2022
Pameungpeuk,3205070,"43,4","1,02","1,65",983,"103,3",2022
Cibalong,3205080,"45,4","0,99","1,73",213,"105,8",2022
Cisompet,3205090,"53,4","0,68","2,03",310,"105,6",2022
Peundeuy,3205100,"24,1","0,71","0,92",424,"106,4",2022
Singajaya,3205110,"47,7","0,50","1,82",705,"104,4",2022
Cihurip,3205111,"18,9","0,56","0,72",467,"105,1",2022
Cikajang,3205120,"85,2","0,82","3,24",682,"106,2",2022
Banjarwangi,3205130,"58,2","0,42","2,21",470,"107,5",2022
Cilawu,3205140,"109,4","0,85","4,17",1 410,"103,4",2022
Bayongbong,3205150,"104,8","1,08","3,99",2 201,"106,3",2022
Cigedug,3205151,"44,6","1,39","1,70",1 431,"107,6",2022
Cisurupan,3205160,"99,4","0,48","3,78",1 229,"106,3",2022
Sukaresmi,3205161,"40,5","0,82","1,54",1 150,"105,0",2022
Samarang,3205170,"78,5","0,92","2,99",1 315,"105,4",2022
Pasirwangi,3205171,"65,6","0,57","2,50",1 405,"107,3",2022
Tarogong Kidul,3205181,"116,5","0,72","4,43",5 986,"101,3",2022
Tarogong Kaler,3205182,"98,4","1,33","3,75",1 946,"102,6",2022
Garut Kota,3205190,"128,0","0,21","4,87",4 619,"103,0",2022
Karangpawitan,3205200,"140,0","1,60","5,33",2 689,"104,1",2022
Wanaraja,3205210,"49,2","1,02","1,87",1 396,"105,9",2022
Sucinaraja,3205211,"29,8","1,22","1,13",880,"103,7",2022
Pangatikan,3205212,"42,8","0,99","1,63",2 172,"104,4",2022
Sukawening,3205220,"57,3","1,27","2,18",1 475,"104,2",2022
Karangtengah,3205221,"18,9","1,40","0,72",811,"103,9",2022
Banyuresmi,3205230,"92,5","0,88","3,52",1 933,"104,2",2022
Leles,3205240,"85,1","1,03","3,24",1 157,"105,9",2022
Leuwigoong,3205250,"47,5","1,22","1,81",2 454,"104,3",2022
Cibatu,3205260,"74,9","0,93","2,85",1 809,"104,2",2022
Kersamanah,3205261,"39,3","0,93","1,50",2 381,"102,8",2022
Cibiuk,3205270,"35,5","1,39","1,35",1 783,"106,9",2022
Kadungora,3205280,"93,5","0,75","3,56",2 506,"104,9",2022
Blubur Limbangan,3205290,"79,1","0,39","3,01",1 075,"107,2",2022
Selaawi,3205300,"42,7","1,24","1,63",1 253,"105,8",2022
Malangbong,3205310,"132,0","0,99","5,02",1 429,"105,9",2022
Garut,3205000,"2 627,2","0,86","100,00",857,"105,0",2022
Cisewu,3205010,"34,0","0,68","1,27",197,"105,7",2023
Caringin,3205011,"33,2","1,39","1,24",336,"108,0",2023
Talegong,3205020,"29,3","0,68","1,09",269,"108,0",2023
