OBJECTID,SHAPE_Area,SHAPE_Leng,WADMKC,WADMKK,WADMPR,mean,month,var,year
29,0.00994920128902,0.498717502599,Banjarwangi,Garut,Jawa Barat,21.111739717234208,1,tmean_c,2022
34,0.00387701787238,0.466619020777,Banyuresmi,Garut,Jawa Barat,21.33591951158316,1,tmean_c,2022
41,0.00377332165161,0.323563001001,Bayongbong,Garut,Jawa Barat,20.15960937290669,1,tmean_c,2022
69,0.0138913839324,0.896048780705,Bungbulang,Garut,Jawa Barat,22.662483154554135,1,tmean_c,2022
79,0.0093655059389,0.664791293249,Caringin,Garut,Jawa Barat,24.266604401874467,1,tmean_c,2022
93,0.0176866755796,0.734655704781,Cibalong,Garut,Jawa Barat,24.760226024591283,1,tmean_c,2022
96,0.0031259061506,0.356240171341,Cibatu,Garut,Jawa Barat,21.428865107454236,1,tmean_c,2022
110,0.00174291448018,0.226564261522,Cibiuk,Garut,Jawa Barat,21.51848050092766,1,tmean_c,2022
130,0.00272391026561,0.259079402271,Cigedug,Garut,Jawa Barat,19.674976379524594,1,tmean_c,2022
138,0.00447076701275,0.328957296726,Cihurip,Garut,Jawa Barat,22.54424786775011,1,tmean_c,2022
145,0.00877105191672,0.733471298424,Cikajang,Garut,Jawa Barat,20.70910507885707,1,tmean_c,2022
160,0.0144442726556,0.646888090051,Cikelet,Garut,Jawa Barat,24.33782072385955,1,tmean_c,2022
169,0.00653810063178,0.494807261914,Cilawu,Garut,Jawa Barat,21.169713980338226,1,tmean_c,2022
220,0.0131496583772,0.641894318181,Cisewu,Garut,Jawa Barat,21.902179977458047,1,tmean_c,2022
223,0.0141322512659,0.665266503991,Cisompet,Garut,Jawa Barat,24.15645709103436,1,tmean_c,2022
224,0.00750923336275,0.439466170018,Cisurupan,Garut,Jawa Barat,18.924002337568226,1,tmean_c,2022
249,0.00245941913595,0.384481696202,Garut Kota,Garut,Jawa Barat,21.30619224903836,1,tmean_c,2022
299,0.0031484713815,0.298128997356,Kadungora,Garut,Jawa Barat,21.740845427833143,1,tmean_c,2022
314,0.00433984366237,0.307214204406,Karangpawitan,Garut,Jawa Barat,21.377215777829086,1,tmean_c,2022
317,0.00251785268648,0.225458478591,Karangtengah,Garut,Jawa Barat,21.194263835619893,1,tmean_c,2022
332,0.00199121169243,0.279712115836,Kersamanah,Garut,Jawa Barat,21.193088476305977,1,tmean_c,2022
356,0.00577596704376,0.469132088729,Leles,Garut,Jawa Barat,21.031907288274304,1,tmean_c,2022
365,0.00193521890584,0.331001480214,Leuwigoong,Garut,Jawa Barat,21.51268608173225,1,tmean_c,2022
381,0.00852173195363,0.49052935546,Malangbong,Garut,Jawa Barat,21.448767366692255,1,tmean_c,2022
396,0.00353988874243,0.333146337727,Mekarmukti,Garut,Jawa Barat,24.05462064845591,1,tmean_c,2022
420,0.0156765180059,0.80860228674,Pakenjeng,Garut,Jawa Barat,22.58420540161848,1,tmean_c,2022
428,0.00387713859664,0.3636260503,Pameungpeuk,Garut,Jawa Barat,25.276344963812107,1,tmean_c,2022
430,0.0104450021215,0.550010293389,Pamulihan,Garut,Jawa Barat,20.19016319450238,1,tmean_c,2022
